district,variable,month,mean_val,std_val
Ghanzi,ndvi,4,0.165,0.022
Ghanzi,ndvi,5,0.135,0.018
Ghanzi,ndvi,6,0.115,0.015
Ghanzi,ndvi,7,0.108,0.014
Ghanzi,ndvi,8,0.115,0.015
Ghanzi,ndvi,9,0.178,0.024
Ghanzi,ndvi,10,0.215,0.027
Ghanzi,ndvi,11,0.238,0.026
Ghanzi,ndvi,12,0.248,0.029
Ghanzi,lst,1,32.5,2.1
Ghanzi,lst,2,33.8,1.9
Ghanzi,lst,3,35.2,1.7
Ghanzi,lst,4,36.8,1.5
Ghanzi,lst,5,35.2,1.6
Ghanzi,lst,6,30.5,1.8
Ghanzi,lst,7,28.8,2.0
Ghanzi,lst,8,30.5,1.8
Ghanzi,lst,9,36.2,1.5
Ghanzi,lst,10,37.5,1.4
Ghanzi,lst,11,35.8,1.6
Ghanzi,lst,12,33.5,1.9
Ghanzi,sm,1,0.058,0.012
Ghanzi,sm,2,0.065,0.014
Ghanzi,sm,3,0.052,0.011
Ghanzi,sm,4,0.035,0.008
Ghanzi,sm,5,0.025,0.006
Ghanzi,sm,6,0.016,0.004
Ghanzi,sm,7,0.014,0.004
Ghanzi,sm,8,0.016,0.004
Ghanzi,sm,9,0.032,0.008
Ghanzi,sm,10,0.045,0.010
Ghanzi,sm,11,0.055,0.011
Ghanzi,sm,12,0.060,0.013
Kgalagadi,spi,1,22.5,10.5
Kgalagadi,spi,2,26.8,12.2
Kgalagadi,spi,3,20.5,9.8
Kgalagadi,spi,4,6.8,5.2
Kgalagadi,spi,5,1.5,2.5
Kgalagadi,spi,6,0.3,0.7
Kgalagadi,spi,7,0.15,0.5
Kgalagadi,spi,8,0.2,0.6
Kgalagadi,spi,9,2.2,3.5
Kgalagadi,spi,10,10.5,8.2
Kgalagadi,spi,11,18.5,9.8
Kgalagadi,spi,12,24.8,11.5
Kgalagadi,ndvi,1,0.195,0.022
Kgalagadi,ndvi,2,0.215,0.020
Kgalagadi,ndvi,3,0.178,0.025
Kgalagadi,ndvi,4,0.135,0.018
Kgalagadi,ndvi,5,0.112,0.015
Kgalagadi,ndvi,6,0.095,0.012
Kgalagadi,ndvi,7,0.088,0.011
Kgalagadi,ndvi,8,0.095,0.012
Kgalagadi,ndvi,9,0.148,0.020
Kgalagadi,ndvi,10,0.178,0.023
Kgalagadi,ndvi,11,0.192,0.022
Kgalagadi,ndvi,12,0.198,0.024
Kgalagadi,lst,1,34.2,2.3
Kgalagadi,lst,2,35.5,2.1
Kgalagadi,lst,3,37.2,1.9
Kgalagadi,lst,4,38.8,1.7
Kgalagadi,lst,5,36.8,1.8
Kgalagadi,lst,6,31.5,2.1
Kgalagadi,lst,7,29.5,2.3
Kgalagadi,lst,8,31.5,2.1
Kgalagadi,lst,9,38.2,1.7
Kgalagadi,lst,10,39.5,1.6
Kgalagadi,lst,11,37.5,1.8
Kgalagadi,lst,12,35.2,2.1
Kgalagadi,sm,1,0.045,0.010
Kgalagadi,sm,2,0.052,0.011
Kgalagadi,sm,3,0.042,0.009
Kgalagadi,sm,4,0.028,0.007
Kgalagadi,sm,5,0.020,0.005
Kgalagadi,sm,6,0.013,0.003
Kgalagadi,sm,7,0.011,0.003
Kgalagadi,sm,8,0.013,0.003
Kgalagadi,sm,9,0.025,0.007
Kgalagadi,sm,10,0.035,0.008
Kgalagadi,sm,11,0.042,0.009
Kgalagadi,sm,12,0.048,0.010
Kgatleng,spi,1,52.5,20.2
Kgatleng,spi,2,58.8,22.5
Kgatleng,spi,3,45.2,18.5
Kgatleng,spi,4,15.8,10.2
Kgatleng,spi,5,4.5,5.2
Kgatleng,spi,6,1.2,2.1
Kgatleng,spi,7,0.6,1.5
Kgatleng,spi,8,0.9,1.8
Kgatleng,spi,9,5.8,7.2
Kgatleng,spi,10,22.5,14.8
Kgatleng,spi,11,42.5,18.2
Kgatleng,spi,12,55.8,21.5
Kgatleng,ndvi,1,0.425,0.045
Kgatleng,ndvi,2,0.458,0.042
Kgatleng,ndvi,3,0.395,0.048
Kgatleng,ndvi,4,0.285,0.035
Kgatleng,ndvi,5,0.228,0.030
Kgatleng,ndvi,6,0.195,0.026
Kgatleng,ndvi,7,0.185,0.024
Kgatleng,ndvi,8,0.195,0.026
Kgatleng,ndvi,9,0.298,0.038
Kgatleng,ndvi,10,0.365,0.044
Kgatleng,ndvi,11,0.408,0.043
Kgatleng,ndvi,12,0.428,0.046
Kgatleng,lst,1,27.2,1.6
Kgatleng,lst,2,28.5,1.5
Kgatleng,lst,3,29.8,1.4
Kgatleng,lst,4,31.5,1.3
Kgatleng,lst,5,30.2,1.4
Kgatleng,lst,6,26.5,1.6
Kgatleng,lst,7,25.2,1.7
Kgatleng,lst,8,26.5,1.6
Kgatleng,lst,9,31.2,1.3
Kgatleng,lst,10,32.5,1.2
Kgatleng,lst,11,30.8,1.4
Kgatleng,lst,12,28.2,1.6
Kgatleng,sm,1,0.145,0.025
Kgatleng,sm,2,0.158,0.028
Kgatleng,sm,3,0.132,0.024
Kgatleng,sm,4,0.092,0.017
Kgatleng,sm,5,0.065,0.013
Kgatleng,sm,6,0.048,0.010
Kgatleng,sm,7,0.042,0.009
Kgatleng,sm,8,0.048,0.010
Kgatleng,sm,9,0.082,0.016
Kgatleng,sm,10,0.115,0.021
Kgatleng,sm,11,0.138,0.024
Kgatleng,sm,12,0.148,0.026
Kweneng,spi,1,42.5,17.5
Kweneng,spi,2,48.8,19.8
Kweneng,spi,3,36.2,15.8
Kweneng,spi,4,11.5,7.8
Kweneng,spi,5,2.8,3.8
Kweneng,spi,6,0.6,1.3
Kweneng,spi,7,0.35,1.0
Kweneng,spi,8,0.5,1.2
Kweneng,spi,9,3.8,5.2
Kweneng,spi,10,16.8,11.5
Kweneng,spi,11,32.8,14.8
Kweneng,spi,12,45.5,18.8
Kweneng,ndvi,1,0.358,0.040
Kweneng,ndvi,2,0.388,0.037
Kweneng,ndvi,3,0.342,0.043
Kweneng,ndvi,4,0.238,0.030
Kweneng,ndvi,5,0.192,0.026
Kweneng,ndvi,6,0.165,0.022
Kweneng,ndvi,7,0.155,0.020
Kweneng,ndvi,8,0.165,0.022
Kweneng,ndvi,9,0.258,0.033
Kweneng,ndvi,10,0.315,0.039
Kweneng,ndvi,11,0.348,0.038
Kweneng,ndvi,12,0.365,0.041
Kweneng,lst,1,29.2,1.9
Kweneng,lst,2,30.5,1.7
Kweneng,lst,3,32.2,1.6
Kweneng,lst,4,34.2,1.4
Kweneng,lst,5,32.8,1.5
Kweneng,lst,6,28.5,1.7
Kweneng,lst,7,27.2,1.8
Kweneng,lst,8,28.5,1.7
Kweneng,lst,9,33.8,1.4
Kweneng,lst,10,35.2,1.3
Kweneng,lst,11,33.2,1.5
Kweneng,lst,12,30.5,1.8
Kweneng,sm,1,0.115,0.020
Kweneng,sm,2,0.128,0.022
Kweneng,sm,3,0.105,0.019
Kweneng,sm,4,0.072,0.014
Kweneng,sm,5,0.052,0.011
Kweneng,sm,6,0.038,0.008
Kweneng,sm,7,0.032,0.007
Kweneng,sm,8,0.038,0.008
Kweneng,sm,9,0.065,0.013
Kweneng,sm,10,0.092,0.017
Kweneng,sm,11,0.112,0.019
Kweneng,sm,12,0.120,0.021
North-East,spi,1,62.5,24.5
North-East,spi,2,68.8,26.8
North-East,spi,3,52.5,21.5
North-East,spi,4,18.5,12.2
North-East,spi,5,5.8,6.5
North-East,spi,6,1.5,2.5
North-East,spi,7,0.8,1.8
North-East,spi,8,1.1,2.0
North-East,spi,9,8.5,9.8
North-East,spi,10,28.5,17.5
North-East,spi,11,52.5,22.5
North-East,spi,12,65.8,25.8
North-East,ndvi,1,0.465,0.048
North-East,ndvi,2,0.498,0.045
North-East,ndvi,3,0.435,0.052
North-East,ndvi,4,0.325,0.038
North-East,ndvi,5,0.265,0.033
North-East,ndvi,6,0.232,0.029
North-East,ndvi,7,0.222,0.027
North-East,ndvi,8,0.232,0.029
North-East,ndvi,9,0.345,0.042
North-East,ndvi,10,0.415,0.047
North-East,ndvi,11,0.455,0.046
North-East,ndvi,12,0.472,0.049
North-East,lst,1,25.8,1.4
North-East,lst,2,27.2,1.3
North-East,lst,3,28.5,1.2
North-East,lst,4,30.2,1.1
North-East,lst,5,28.8,1.2
North-East,lst,6,25.2,1.4
North-East,lst,7,23.8,1.5
North-East,lst,8,25.2,1.4
North-East,lst,9,29.8,1.1
North-East,lst,10,31.2,1.0
North-East,lst,11,29.2,1.2
North-East,lst,12,26.5,1.4
North-East,sm,1,0.168,0.028
North-East,sm,2,0.182,0.031
North-East,sm,3,0.152,0.027
North-East,sm,4,0.108,0.020
North-East,sm,5,0.078,0.015
North-East,sm,6,0.058,0.011
North-East,sm,7,0.052,0.010
North-East,sm,8,0.058,0.011
North-East,sm,9,0.098,0.018
North-East,sm,10,0.138,0.024
North-East,sm,11,0.162,0.027
North-East,sm,12,0.172,0.029
North-West,spi,1,72.5,28.5
North-West,spi,2,78.8,30.8
North-West,spi,3,62.5,25.5
North-West,spi,4,22.5,14.5
North-West,spi,5,7.5,8.2
North-West,spi,6,2.2,3.5
North-West,spi,7,1.2,2.2
North-West,spi,8,1.6,2.6
North-West,spi,9,12.5,13.5
North-West,spi,10,35.5,20.5
North-West,spi,11,62.5,26.5
North-West,spi,12,75.8,29.8
North-West,ndvi,1,0.525,0.052
North-West,ndvi,2,0.558,0.049
North-West,ndvi,3,0.485,0.056
North-West,ndvi,4,0.365,0.042
North-West,ndvi,5,0.298,0.036
North-West,ndvi,6,0.262,0.032
North-West,ndvi,7,0.248,0.030
North-West,ndvi,8,0.262,0.032
North-West,ndvi,9,0.385,0.045
North-West,ndvi,10,0.465,0.051
North-West,ndvi,11,0.512,0.050
North-West,ndvi,12,0.532,0.053
North-West,lst,1,24.5,1.2
North-West,lst,2,26.2,1.1
North-West,lst,3,27.8,1.0
North-West,lst,4,29.5,0.9
North-West,lst,5,27.8,1.0
North-West,lst,6,24.2,1.2
North-West,lst,7,22.8,1.3
North-West,lst,8,24.2,1.2
North-West,lst,9,28.8,0.9
North-West,lst,10,30.2,0.8
North-West,lst,11,28.2,1.0
North-West,lst,12,25.5,1.2
North-West,sm,1,0.195,0.032
North-West,sm,2,0.212,0.035
North-West,sm,3,0.178,0.030
North-West,sm,4,0.128,0.023
North-West,sm,5,0.092,0.017
North-West,sm,6,0.072,0.013
North-West,sm,7,0.065,0.012
North-West,sm,8,0.072,0.013
North-West,sm,9,0.118,0.021
North-West,sm,10,0.165,0.028
North-West,sm,11,0.188,0.031
North-West,sm,12,0.198,0.033
South-East,spi,1,58.5,22.8
South-East,spi,2,65.2,25.2
South-East,spi,3,48.5,20.2
South-East,spi,4,16.5,11.2
South-East,spi,5,5.2,6.2
South-East,spi,6,1.3,2.3
South-East,spi,7,0.7,1.6
South-East,spi,8,1.0,1.9
South-East,spi,9,7.5,9.2
South-East,spi,10,25.5,16.2
South-East,spi,11,48.5,21.2
South-East,spi,12,62.5,24.5
South-East,ndvi,1,0.485,0.049
South-East,ndvi,2,0.518,0.046
South-East,ndvi,3,0.452,0.053
South-East,ndvi,4,0.335,0.039
South-East,ndvi,5,0.272,0.034
South-East,ndvi,6,0.238,0.030
South-East,ndvi,7,0.228,0.028
South-East,ndvi,8,0.238,0.030
South-East,ndvi,9,0.352,0.043
South-East,ndvi,10,0.425,0.048
South-East,ndvi,11,0.472,0.047
South-East,ndvi,12,0.492,0.050
South-East,lst,1,26.5,1.5
South-East,lst,2,27.8,1.4
South-East,lst,3,29.2,1.3
South-East,lst,4,31.2,1.2
South-East,lst,5,29.5,1.3
South-East,lst,6,25.8,1.5
South-East,lst,7,24.5,1.6
South-East,lst,8,25.8,1.5
South-East,lst,9,30.5,1.2
South-East,lst,10,31.8,1.1
South-East,lst,11,29.8,1.3
South-East,lst,12,27.2,1.5
South-East,sm,1,0.158,0.027
South-East,sm,2,0.172,0.030
South-East,sm,3,0.142,0.026
South-East,sm,4,0.098,0.018
South-East,sm,5,0.072,0.014
South-East,sm,6,0.055,0.011
South-East,sm,7,0.048,0.010
South-East,sm,8,0.055,0.011
South-East,sm,9,0.092,0.017
South-East,sm,10,0.128,0.023
South-East,sm,11,0.152,0.026
South-East,sm,12,0.162,0.028
Southern,spi,1,48.5,19.5
Southern,spi,2,55.2,21.8
Southern,spi,3,40.5,17.5
Southern,spi,4,13.5,9.2
Southern,spi,5,3.8,4.8
Southern,spi,6,0.95,1.8
Southern,spi,7,0.5,1.3
Southern,spi,8,0.7,1.5
Southern,spi,9,5.2,6.8
Southern,spi,10,19.5,13.2
Southern,spi,11,38.5,16.8
Southern,spi,12,52.5,20.8
Southern,ndvi,1,0.395,0.043
Southern,ndvi,2,0.428,0.040
Southern,ndvi,3,0.372,0.046
Southern,ndvi,4,0.265,0.033
Southern,ndvi,5,0.215,0.029
Southern,ndvi,6,0.185,0.025
Southern,ndvi,7,0.175,0.023
Southern,ndvi,8,0.185,0.025
Southern,ndvi,9,0.285,0.037
Southern,ndvi,10,0.348,0.042
Southern,ndvi,11,0.385,0.041
Southern,ndvi,12,0.402,0.044
Southern,lst,1,28.2,1.7
Southern,lst,2,29.5,1.6
Southern,lst,3,31.2,1.5
Southern,lst,4,33.2,1.3
Southern,lst,5,31.5,1.4
Southern,lst,6,27.8,1.6
Southern,lst,7,26.5,1.7
Southern,lst,8,27.8,1.6
Southern,lst,9,32.5,1.3
Southern,lst,10,33.8,1.2
Southern,lst,11,31.8,1.4
Southern,lst,12,29.2,1.7
Southern,sm,1,0.132,0.023
Southern,sm,2,0.145,0.025
Southern,sm,3,0.118,0.022
Southern,sm,4,0.082,0.015
Southern,sm,5,0.060,0.012
Southern,sm,6,0.045,0.009
Southern,sm,7,0.038,0.008
Southern,sm,8,0.045,0.009
Southern,sm,9,0.075,0.015
Southern,sm,10,0.105,0.019
Southern,sm,11,0.128,0.022
Southern,sm,12,0.138,0.024
